ts_code,ln_cap,beta,momentum_20d,volatility_60d,turnover_20d,pe_ttm,pb,roe,debt_ratio,eps_growth
000503.SZ,13.472962560311284,1.3693734356293938,-0.0255376344086022,0.0203542401220868,1.1436,0.0,7.4018,0.0,0.0,0.0
000504.SZ,12.654574637479294,0.4893195521214362,-0.0316326530612245,0.0206909181231212,1.6674,74.3077,11.3126,0.0,0.0,0.0
000505.SZ,13.02340677154188,1.271076899578209,-0.0488549618320609,0.0269688051276951,1.2839,0.0,1.5774,0.0,0.0,0.0
000506.SZ,14.092540765650003,2.146391396138634,-0.1904218928164196,0.0379903389002913,3.337,37.7597,14.8376,0.0,0.0,0.0
000507.SZ,13.079837599560896,1.1376884069359527,-0.0169811320754716,0.0202500340149457,0.8882,20.7304,0.8016,0.0,0.0,0.0
000509.SZ,12.949597292685391,1.7155407264195643,0.0980392156862745,0.0389993951325698,4.796,0.0,34.7912,0.0,0.0,0.0
000510.SZ,13.783942614409344,3.206590762953101,0.0026845637583892,0.0484134167378422,5.335,0.0,9.395,0.0,0.0,0.0
000513.SZ,14.821552442004077,0.7685328856023476,-0.0855106888361044,0.0127013419575394,0.7143,13.9283,1.8849,0.0,0.0,0.0
000514.SZ,12.847131305857452,1.6465963897196798,-0.0683229813664596,0.021757954025255,1.0479,0.0,1.0346,0.0,0.0,0.0
000516.SZ,13.79823893306955,1.3535862051951688,-0.0456521739130434,0.0268441903268354,0.7717,0.0,3.0059,0.0,0.0,0.0
000517.SZ,13.307617878409385,1.4844212657367035,0.0,0.0238615230473032,0.803,0.0,1.2958,0.0,0.0,0.0
000518.SZ,12.960333080741378,0.577763036298028,0.3859060402684564,0.0289227318746934,16.635,0.0,13.1518,0.0,0.0,0.0
000519.SZ,14.72942813084286,1.866479582935714,-0.0072062084257205,0.0260889331073404,3.6913,110.7065,2.3965,0.0,0.0,0.0
000520.SZ,12.875606240990145,1.2846550647172486,-0.035,0.0281039245496915,1.3594,0.0,9.2768,0.0,0.0,0.0
000521.SZ,13.241690592823447,1.1198355341751811,-0.0437062937062937,0.017483511701035,0.7326,18.8426,0.9227,0.0,0.0,0.0
000523.SZ,13.298881878661057,1.382007546917641,-0.0030674846625766,0.0217007599494944,1.4134,51.8158,3.0438,0.0,0.0,0.0
000524.SZ,13.319935738399758,1.6745930971783494,-0.1242774566473989,0.0266491902180569,1.0338,79.7994,2.6336,0.0,0.0,0.0
000525.SZ,13.391147891889092,1.3428949143430802,-0.1146384479717813,0.0289410601258481,1.373,0.0,2.6348,0.0,0.0,0.0
000526.SZ,12.854862637785637,1.7306230234414492,-0.0323574730354392,0.0253963175300141,1.2176,18.0496,3.6763,0.0,0.0,0.0
000528.SZ,14.439229171296375,1.5933392594925793,-0.0672097759674134,0.021755056212735,1.0512,11.9753,0.9807,0.0,0.0,0.0
000529.SZ,12.63674569326232,1.0225830632208326,-0.0656028368794326,0.015056072636888,0.6805,28.8173,0.9556,0.0,0.0,0.0
000530.SZ,13.089850472835938,1.906110543107932,-0.0559210526315789,0.0247557712568209,2.5254,89.851,1.5244,0.0,0.0,0.0
000531.SZ,13.503680777514646,1.1688720905592962,0.0218023255813954,0.0302276077915254,1.734,18.3684,1.0535,0.0,0.0,0.0
000532.SZ,13.060877633503674,1.330107741876042,-0.0051057622173596,0.0251549780256563,8.0194,38.8317,2.8982,0.0,0.0,0.0
000533.SZ,13.65426882661924,2.1147203322963373,-0.2487804878048779,0.0547374162351633,4.3057,85.6572,8.6334,0.0,0.0,0.0
000534.SZ,14.419711611657965,2.9664741915562245,-0.1486486486486487,0.0563508163506447,3.3284,90.6743,10.6531,0.0,0.0,0.0
000536.SZ,14.007389107290424,0.8878603441094233,0.0403800475059382,0.0268782923824769,9.5933,0.0,14.4221,0.0,0.0,0.0
000537.SZ,14.561803908367352,1.6361756449158895,-0.0125120307988451,0.0419140878890451,1.6422,33.1917,1.0598,0.0,0.0,0.0
000538.SZ,15.999945783853756,0.3485673198013279,-0.0955321467490011,0.0089165998772911,0.3558,16.9052,2.2626,0.0,0.0,0.0
000539.SZ,15.047614867661022,1.5727360196315356,0.0219092331768389,0.048518405094902,2.6165,41.2475,1.4707,0.0,0.0,0.0
000541.SZ,13.586769021000284,1.3067986167149417,-0.0912280701754386,0.0169870499670438,1.5956,45.1413,1.1574,0.0,0.0,0.0
000543.SZ,14.49808842357992,1.4008779375626712,0.0530759951749096,0.024589529727119,3.1342,9.2054,1.1271,0.0,0.0,0.0
000544.SZ,13.576677144859936,1.4220504434349766,-0.0300120048019207,0.0181277024550908,0.4144,7.4035,0.8371,0.0,0.0,0.0
000545.SZ,12.48549168433066,2.139346752054218,-0.1096345514950165,0.0407354734482668,3.7642,0.0,4.2396,0.0,0.0,0.0
000546.SZ,13.07464135023341,1.7306730466530225,-0.0823353293413173,0.0409228996692277,5.2778,0.0,1.2415,0.0,0.0,0.0
000547.SZ,15.14744661590505,2.263395191721974,-0.1538736165655123,0.0408703413793795,4.6288,0.0,10.0422,0.0,0.0,0.0
000548.SZ,12.478343510267855,1.284929058968404,0.0057361376673038,0.0200032836282148,4.8252,69.6141,1.2691,0.0,0.0,0.0
000550.SZ,14.231457066444278,0.9895577771158252,-0.0762756443976855,0.0182278930156808,0.6367,12.4049,1.259,0.0,0.0,0.0
000551.SZ,13.641785665894131,1.9625482387833288,0.1991701244813277,0.0280684782425405,6.2055,24.7438,2.7603,0.0,0.0,0.0
000552.SZ,14.164921515368292,0.7946056270835847,-0.0433212996389892,0.027754735069126,1.3482,0.0,0.8678,0.0,0.0,0.0
000553.SZ,14.23051577939856,1.3618144176246971,0.0586319218241042,0.0354186658440244,0.5704,0.0,0.8453,0.0,0.0,0.0
000554.SZ,12.77258602486484,-0.068479243103898,-0.0697969543147207,0.0364853252769094,3.7858,20.8589,2.9607,0.0,0.0,0.0
